rank,score,bucket,relevance,id,name,status,asset_type,capacity_mw,duration_hours,energy_gwh,investment_eur_bn,location,developer,planning_reference,technology,counting_rule,source,url,reasons
1,114,Promising,in Ireland,rathrush-green-energy-park-carlow,Rathrush Green Energy Park,Proposed / pre-application consultation,LDES / green hydrogen storage,600,70,42,2,"Rathoe / Tullow area, Co. Carlow",Net Zero Energy (NZE),PC01.319679,Long-duration energy storage using green hydrogen and lined underground rock caverns,Do not include in renewable generation totals. Track as enabling infrastructure.,"RTÉ News, 8 Jun 2026",https://www.rte.ie/news/2026/0608/1577361-energy-firm-unveils-2bn-carlow-storage-project/,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; energy capacity stated; 4h+ duration; planning reference; trusted source: rte.ie; planning; proposed; consultation; counting rule present
2,113,Promising,in Ireland,storage-news-93cef3cf0291,150MW battery energy storage system approved in Northern Ireland - Solar Power Portal,Approved,Battery energy storage,150.0,,,,Ireland,,,150MW battery energy storage system approved in Northern Ireland Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMitgFBVV95cUxPaHZPeTZQV0lNQWkwZnZaamRJcHhjYWhBYWNVeGxFbjVveFlFWFI5QzlmaDBXRXhtS0FyUUh6a2xwMVh6SDZNUWlSRTF4Y1NtaW1GYk1BZVgzbFRtSGU1NGZuV1lXR0pBMzhNWlBaaGVCTWhpUEVxN3Q3OFlWVEtJb3F6Qlo4bTMxMmlhQ2l5TzR2RlNBd0hoYXp3RGt2ZjRMSTc1QmgwSXVZdGxhbHZNaXRXZzZ4UQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; approved; planning; counting rule present
3,105,Promising,in Ireland,storage-news-0812b3169b96,600 MW LDES facility with green hydrogen electolyzer proposed in Ireland - ESS News,Proposed / planning,LDES / green hydrogen storage,600.0,,,,Ireland,,,600 MW LDES facility with green hydrogen electolyzer proposed in Ireland ESS News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,ESS News,https://news.google.com/rss/articles/CBMirgFBVV95cUxQODJJcVRHRUtyeW81Y29uZjRoeDZsSUJhT3BNZ01ZOFFfUHBIQ2IyYnpIcEZ4ODhNR0xYcHBvNVNJb3I4ZFBNMDBleWxmMGtadWt3aDlCSjlxQVo3VnhqOHB2MjY4emVsM29idms0M2VpdEpnU3lXS2oydDBlNHZpSjExNzFKNDEteHQ4a0tudTlVUFBkVC15cVZFak1SRkZ4ellQVWZ6T1JpNEJWeXc?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; proposed; counting rule present
4,105,Promising,in Ireland,storage-news-f038a97ccca9,€2bn Rathrush Green Energy Project: State-owned Irish NZE Unveils 600MW Hydrogen Plant Build-out - Construction Review,Proposed / planning,LDES / green hydrogen storage,600.0,,,2.0,Ireland,,,€2bn Rathrush Green Energy Project: State-owned Irish NZE Unveils 600MW Hydrogen Plant Build-out Construction Review,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Construction Review,https://news.google.com/rss/articles/CBMi0gFBVV95cUxQbTc2LTNwSDhMSzBxdTg5N3o0eXNHLVR0UmZuYzVuc2pZaHBDZzg4UDc4cEtmSGIwMk16SHp2MDRpeHVWc2w4RlBTclp1c3VXRHdrcjg2dzE0bWZlUW1xS2JNeFFuYU1RZzNFbV85TDZCQmFaaXdxcy1ub3dpVHhfU2dPNEd2RGt6cUZ1M2VmajNsQ2JSejNGNVRLbmU1TmcxUTdhbWx2NGZlUmh2dzJidGNZenB1UFhLSjhkckJpV0tsZHlpajZYWGh0cmVDU0p3ZkE?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; proposed; counting rule present
5,105,Promising,in Ireland,storage-news-c25e701d0227,RES submits planning application for 100MW Irish BESS - Solar Power Portal,Proposed / planning,Battery energy storage,100.0,,,,Ireland,,,RES submits planning application for 100MW Irish BESS Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMipwFBVV95cUxNNGl4N2pqaGd6MWY4NjZZdEV0X3h3SjZxbHZEYmRKc1AxRTFDd0wwTEVNeXA4SkpoQzFsWXRNTElwZ1pBZDBmalg1TG4tQUxaa1FseGtqWUc4SUdfR2lxSm9QMDZOd0dpOUZOODB5bWJLWUF4bWhNZE92VUg4dVhlUzNPT295NjFBbGx2azRySUE5U0ZSZEZMYVBVVXRrUTN5TnhVNy1oQQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; proposed; counting rule present
6,105,Promising,in Ireland,storage-news-6ce5208ff653,RES submits planning for 100MW Northern Irish BESS - Solar Power Portal,Proposed / planning,Battery energy storage,100.0,,,,Ireland,,,RES submits planning for 100MW Northern Irish BESS Solar Power Portal,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Solar Power Portal,https://news.google.com/rss/articles/CBMiowFBVV95cUxPTE1LakcyTDEzSXR5MF9OU2lxT2dlXy1yNHIyQTNnU2FHY29abG9KcTd0STg2S09LMWUzdHRQQVNuc2VUSFRWeW03TnhVck1EdU5teE1vTTlPVE5ENEdrV0pUWm5kdVVwQ0FhMTRUUXNlYUZNY2toOTBraWNZSU1KYTBHWkVHejZTUTQwdzhoYUpEM0xfejR3bElUVl9Zd1BCcnlz?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; proposed; counting rule present
7,105,Promising,in Ireland,storage-news-8c05dda52339,Gaelectric submits planning application for 330MW compressed air storage system in Northern Ireland - Energy-Storage.News,Proposed / planning,Storage / grid flexibility,330.0,,,,Ireland,,,Gaelectric submits planning application for 330MW compressed air storage system in Northern Ireland Energy-Storage.News,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy-Storage.News,https://news.google.com/rss/articles/CBMizAFBVV95cUxPclhnclJCUlJpTFRlajNNQ3hteXp0TGpFOG9WNndoNXhRZVZBUEVvck1lR1B2M3ZnLWdscGZabjBXTTh6Ql9heFBhMHRHaUQ5TUI4d3BkcENoN2NPckZRRU9SaUVVQVd4a19VMWRuWkEteFhBallkcnBhdF83Wkc4Nld4ejRVX05Nc2VJemhZcFVvc3RwWko2Znl3NjNwQ2ZtUHpYQUlyQVE1Tld3aU9YeEI0Z05BTGZBdkk4TU5ESUZheURUQzcwWHUyemU?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; proposed; counting rule present
8,101,Promising,in Ireland,storage-news-a17ee54fce54,Planning approved for multi-million Mayo hydrogen plant - westernpeople.ie,Approved,LDES / green hydrogen storage,,,,,Co. Mayo,,,Planning approved for multi-million Mayo hydrogen plant westernpeople.ie,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,westernpeople.ie,https://news.google.com/rss/articles/CBMiqAFBVV95cUxNQUVHZkJXZC1oNUo1R2RZTFhXS3ExQ0JWQUMxaVAxRWIzaThPRFUwSnh6Um5tbERVeWxTLXBoM193MGVOeElWZmxxUm50SkU2bHdETXhnbER5eWRfc1pHbDNWamJRMkp6VW1nc3hsYm8yT3Y0MGlScGxqSENpUFJFN19rRkpHSjRZOFZJNWdubnZURjdQY1lFdWwyZkxHLVRjdVRBcHlDQzk?oc=5,storage-specific language; Ireland-sited or Ireland-specific; operational; connected; approved; planning; counting rule present
9,99,Promising,in Ireland,storage-news-bd5f64b31061,"Ireland’s long-duration storage path is set: Four hours, high-efficiency, and 201 MW by 2030 - Energy Storage - ESS News",Watch item,Storage / grid flexibility,201.0,,,,Ireland,,,"Ireland’s long-duration storage path is set: Four hours, high-efficiency, and 201 MW by 2030 - Energy Storage ESS News",Do not include in renewable generation totals unless this is explicitly connected renewable generation.,ESS News,https://news.google.com/rss/articles/CBMiwwFBVV95cUxOZTB0RzJjT2x1dF83R2x4UldZYnhhdnVmYm5leGJQSnlFTFg1QlJaZDZQVkRaVklUaXByWWxRSm5KOUhfNXFqVWltNGhjWkl6bjJuRHY4Um5RblhkR1hVMTFuSV81Z3BBN3R1b2ZSSm5WSVNqc0YzLXU2RjRoSEFEWDhTZFU3TGg3X2VtZUFSLXRlR1M5anhPM3NYUW1KWmFsYktVaXRWdTBGSUZGM0xhWUZncHRLMG94SDZGZF8wNndJQTQ?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
10,99,Promising,in Ireland,storage-news-9a2bd7519e42,Google and Energy Dome plan 200MWh CO2 battery project in Ireland - Energy Monitor,Watch item,Battery energy storage,200.0,,,,Ireland,,,Google and Energy Dome plan 200MWh CO2 battery project in Ireland Energy Monitor,Do not include in renewable generation totals unless this is explicitly connected renewable generation.,Energy Monitor,https://news.google.com/rss/articles/CBMifkFVX3lxTE1hVTQ0cFhXbm9DVVJlY1A5NUlfYk5BUVpNNmFNdUxpR3p3a254VVh0WEF1dzdfSXZ5VVlUUjBsY1hVLUVYeEhhWGN1Q1c3VmEtRzV2UmxfNnNCakg5WFBsbENodXRLT3IyeV80TTQ1T1lMSUxXblMtUE5yNGNZZw?oc=5,storage-specific language; Ireland-sited or Ireland-specific; >=50 MW; operational; connected; planning; counting rule present
